filename|document_id|has_extracted_metadata|abstract|author_surnames|authors|document_type|doi|extraction_method|file_path|harvard_citation|keywords|language|llm_extracted|original_filename|publication_date|publisher|source_url|title|uploaded_via
Product design_ Fundamentals and methods_ N_F_M_ Roozenburg -- J_A_ Stoop -- Safety Science, #3, 24, pages 233-236, 1996 dec -- Elsevier Science; -- 10_1016_s0925-7535(97)81485-3.pdf|7893ada7-0c39-48b2-b413-e600b5e14a3f|Yes||Roozenburg; Eekels|N.F.M. Roozenburg; J. Eekels|book||llm_analysis|/home/appuser/app/uploads/339c76c7-4ab1-41f2-97e6-2721058d536b.pdf||product design; design methodology; product development; design process; innovation|English|True|Product design_ Fundamentals and methods_ N_F_M_ Roozenburg -- J_A_ Stoop -- Safety Science, #3, 24, pages 233-236, 1996 dec -- Elsevier Science; -- 10_1016_s0925-7535(97)81485-3.pdf|1995|Wiley||Product Design: Fundamentals and Methods|api_v2
Organizational behavior.pdf|095723b5-82a7-4ac8-9660-5ca73d7dbb5e|Yes||Ivancevich; Konopaske; Matteson|John M. Ivancevich; Robert Konopaske; Michael T. Matteson|||llm_analysis|/home/appuser/app/uploads/f129f637-20dc-4e6f-881e-6ab42755e6cf.pdf||Organizational Behavior; Management||True|Organizational behavior.pdf||C. T. Bauer College of Business, University of Houston||Organizational Behavior and Management|api_v2
Wiring the Winning Organization - Gene Kim & Steven J. Spear.pdf|4c40a1f0-d474-49ab-a2f9-a347e709d8b8|Yes||Kim; Spear|Gene Kim; Steven J. Spear|||llm_analysis|/home/appuser/app/uploads/fec07700-e8a1-47bd-9125-31f1ea36d02d.pdf||organization; leadership; complexity; resilience; adaptive; blueprint; transformation|English|True|Wiring the Winning Organization - Gene Kim & Steven J. Spear.pdf||||Wiring the Winning Organization|api_v2
A Guide to the Project Management Body of Knowledge (PMBOK -- Project Management Institute -- 7th Revised, 2021.pdf|7310b0ba-53e3-4a06-990d-f38fa64d3e79|Yes||Project Management Institute|Project Management Institute|Guide||llm_analysis|/home/appuser/app/uploads/054417fd-5425-4109-acee-0ed6d61887f7.pdf||project management; PMBOK® GUIDE; standard; body of knowledge||True|A Guide to the Project Management Body of Knowledge (PMBOK -- Project Management Institute -- 7th Revised, 2021.pdf||Project Management Institute||The standard for project management and a guide to the project management body of knowledge (PMBOK® GUIDE) Seventh Edition|api_v2
TriumphOfLean ProductionSystem.pdf|9760baa2-b09f-4c7b-b787-c9bb19203274|Yes|The article challenges the myth that productivity and quality in the auto industry are determined by location, highlighting the importance of corporate culture and 'lean' production policies.|Krafcik; Laucio|John F. Krafcik; Tumph Laucio|research paper||llm_analysis|/home/appuser/app/uploads/81f65e66-2c27-46bb-b67c-c928256127bd.pdf|Krafcik, J. F. & Laucio, T. (1988) ‘Triumph of the Lean Production System’, *Management Review*, 30(1), pp. 41.|lean production; auto industry; productivity; quality; assembly plant|English|True|TriumphOfLean ProductionSystem.pdf|1988-04|Massachusetts Institute of Technology SLOAN||Triumph of the Lean Production System|api_v2
Systems Engineering and Analysis Pearson New International -- Benjamin S_ Blanchard, Wolter J_ Fabrycky.pdf|091b611b-2cfd-4a87-88f4-5d3f45f58cad|Yes||Blanchard; Fabrycky|Blanchard; Fabrycky|||llm_analysis|/home/appuser/app/uploads/794b074e-4e71-40aa-9592-01de16b73754.pdf||||True|Systems Engineering and Analysis Pearson New International -- Benjamin S_ Blanchard, Wolter J_ Fabrycky.pdf||||Systems Engineering and Analysis|api_v2
Competitive Advantage of Nations - Michael E. Porter.pdf|3a7e0a33-bfe2-45be-8071-ec420004bdfb|Yes||Porter|Michael E. Porter|||llm_analysis|/home/appuser/app/uploads/e4e607c0-dec6-47d5-9322-d38238ea8080.pdf||competitive advantage; performance; strategy||True|Competitive Advantage of Nations - Michael E. Porter.pdf|1985|||Competitive Advantage: Creating and Sustaining Superior Performance|api_v2
Toyota Way _ 14 Management Principles from the World's Greatest Manufacturer, The - Jeffrey Liker.pdf|67cabbfd-8fbf-45ec-9549-38a90bea8722|Yes||Liker|Jeffrey K. Liker|book||llm_analysis|/home/appuser/app/uploads/6828a6f2-7bb8-4a37-a1e4-c71ced3b7abe.pdf||Toyota; Toyota Way; Management Principles; Manufacturing; Lean Manufacturing|English|True|Toyota Way _ 14 Management Principles from the World's Greatest Manufacturer, The - Jeffrey Liker.pdf||McGraw-Hill||The Toyota Way 14 Management Principles from the World's Greatest Manufacturer|api_v2
McGregor_The_Human_Side_of_Enterprise.pdf|0f5a3d0d-fde5-429b-a840-ba6b64707765|Yes|The text discusses the potential of social sciences to improve human organizations and compares it to the development of atomic energy. It suggests that current conceptions of human nature are inadequate and that new knowledge could unlock creative human energy within organizations.|Leavitt; Pondy; Boje|Harold J. Leavitt; Louis R. Pondy; David M. Boje|report||llm_analysis|/home/appuser/app/uploads/2a5906a7-506a-4970-9031-8ebae742d272.pdf|Leavitt, H. J., Pondy, L. R. & Boje, D. M. (1966) Readings in Managerial Psychology. The M.I.T. Press.|managerial psychology; human side of enterprise; management; social sciences; human organizations|English|True|McGregor_The_Human_Side_of_Enterprise.pdf|1966|The M.I.T. Press||Readings in Managerial Psychology|api_v2
Keko, Prevo & Stremersch (Book Chapter, 2018).pdf|646224ad-bc6b-4b79-9c77-7f70a5ada5f3|Yes||Keko; Prevo; Stremersch|Elio Keko; Gert Jan Prevo; Stefan Stremersch|||llm_analysis|/home/appuser/app/uploads/96881849-03ff-4774-8d97-ed3ae9cb78da.pdf||innovation; business model; product innovation; service innovation; process innovation|English|True|Keko, Prevo & Stremersch (Book Chapter, 2018).pdf||||The what, who and how of innovation generation|api_v2
Research Design_ Qualitative, Quantitative, and Mixed -- John W_ Creswell, David J_ Creswell -- 6th, 2023 -- SAGE Publications.pdf|bea2d905-8edd-4c6b-b30a-ddde28bed82d|Yes||||||llm_analysis|/home/appuser/app/uploads/c2496a35-169c-4209-8eed-d2a01a24b6e9.pdf||research design; qualitative; quantitative; mixed methods|English|True|Research Design_ Qualitative, Quantitative, and Mixed -- John W_ Creswell, David J_ Creswell -- 6th, 2023 -- SAGE Publications.pdf||SAGE Publishing||RESEARCH DESIGN Qualitative, Quantitative, and Mixed Methods Approaches|api_v2
Team Topologies_ Organizing Business and Technology Teams for Fast Flow - Matthew Skelton & Manuel Pais.pdf|fa5bee04-9b62-493e-8c7c-6353cf15b73d|Yes||Skelton; Pais|Matthew Skelton; Manuel Pais|||llm_analysis|/home/appuser/app/uploads/89f76ed4-dd91-4830-bf6e-5b13435d8dbb.pdf||teams; organization; digital economy; DevOps; SRE; team organization; team design; high-performance teams|English|True|Team Topologies_ Organizing Business and Technology Teams for Fast Flow - Matthew Skelton & Manuel Pais.pdf||||TEAM TOPOLOGIES|api_v2
Guide_to_the_Systems_Engineering_Body_of_Knowledge_v2.10.pdf|5f62cc19-bd6a-47ff-96bd-df44cd28089d|Yes||SEBoK|Guide to the Systems Engineering Body of Knowledge (SEBoK)|Guide||llm_analysis|/home/appuser/app/uploads/f13c732d-cbc3-40e8-84f5-11e84e1c4d51.pdf|||English|True|Guide_to_the_Systems_Engineering_Body_of_Knowledge_v2.10.pdf|2.10||www.sebokwiki.org|Guide to the Systems Engineering Body of Knowledge (SEBoK) Version 2.10|api_v2
Design for Manufacturability How to Use Concurrent Engineering.pdf|f9af799f-c183-4224-aa55-71ca69b26351|Yes||Anderson|David M. Anderson|book||llm_analysis|/home/appuser/app/uploads/9409f513-b04c-4551-8696-8773637e1b93.pdf||design for manufacturability; concurrent engineering; low-cost products; high-quality products; lean production||True|Design for Manufacturability How to Use Concurrent Engineering.pdf||Taylor & Francis|http://taylorandfrancis.com|DESIGN for MANUFACTURABILITY SECOND EDITION|api_v2
Toyota Kata - Mike Rother.pdf|ac1ad5a4-b73c-4020-9094-4481b531e3fc|Yes||Rother|Mike Rother|||llm_analysis|/home/appuser/app/uploads/bce3f376-a177-4e91-96fb-876df39bee4f.pdf||Toyota; improvement; adaptiveness; results; people management||True|Toyota Kata - Mike Rother.pdf||||MANAGING PEOPLE FOR IMPROVEMENT, ADAPTIVENESS, AND SUPERIOR RESULTS|api_v2
Roethlisberger, F. J. & Dickson, W. J. (1939). Management and the Worker.pdf|ae46acaa-343c-4c18-b931-af16de25fd0c|Yes|A continuous history of experiments conducted at the Hawthorne Works of the Western Electric Company. The authors argue that psychological factors are more important than physiological, and sociological and anthropological factors are more important than economic.|Roethlisberger; Dickson|F. J. Roethlisberger; William J. Dickson|book||llm_analysis|/home/appuser/app/uploads/cc917b89-dc8f-4f88-ad05-2277230d8473.pdf|Roethlisberger, F. J. and Dickson, W. J. (1939) *Management and the Worker*. Harvard University Press.|management; worker; psychological factors; sociological factors; anthropological factors; Hawthorne Works; Western Electric Company||True|Roethlisberger, F. J. & Dickson, W. J. (1939). Management and the Worker.pdf|1939|Harvard University Press (Oxford University Press)|http://www.jstor.org/stable/2226267|Management and the Worker|api_v2
Handbook of Research on New Product Development -- Peter N_ Golder, Debanjan Mitra -- Research Handbooks in Business and Management series, 2018.pdf|50503e7d-504b-4a51-8407-843c0c0183d4|Yes||Golder; Mitra|Peter N. Golder; Debanjan Mitra|handbook||llm_analysis|/home/appuser/app/uploads/a8644b50-53ca-4c02-8983-165fe592c7af.pdf||new product development; research||True|Handbook of Research on New Product Development -- Peter N_ Golder, Debanjan Mitra -- Research Handbooks in Business and Management series, 2018.pdf||||HANDBOOK OF RESEARCH ON NEW PRODUCT DEVELOPMENT|api_v2
Innovation Management and New Product Development -- Paul Trott -- Pearson Education (UK), Harlow, United Kingdom, 2021 -- Pearson.pdf|224946e3-2928-433f-a4d1-ace018cae759|Yes||Trott|Paul Trott|research paper||llm_analysis|/home/appuser/app/uploads/f075c112-a381-492a-adb1-e101e1cfeb3c.pdf||||True|Innovation Management and New Product Development -- Paul Trott -- Pearson Education (UK), Harlow, United Kingdom, 2021 -- Pearson.pdf||||Innovation Management and New Product Development|api_v2
R. G. Cooper 1979 - The Dimensions of Industrial New Product Success and Failure.pdf|1d8d5e53-2ffe-4bb2-bed8-d5b913f28da1|Yes||Caves; Oliva|Robert E. Caves; Michael A. Oliva|||llm_analysis|/home/appuser/app/uploads/23e6675b-c827-4f34-91bd-6cd7823d0824.pdf||new product; success; failure; market orientation; product strategy; empirical research||True|R. G. Cooper 1979 - The Dimensions of Industrial New Product Success and Failure.pdf|1982|||The Dimensions of Industrial New Product Success and Failure|api_v2
The principles of product development flow_ second -- Reinertsen, Donald G_, 2009.pdf|1749a345-186f-471c-a34f-c12882fd8bd4|Yes|Companies are pursuing the wrong goals, maximizing capacity utilization and striving to conform to plan. The heart of a new approach is FLOW, and the enemy of flow is the invisible and unmeasured queues that undermine product development performance. This book comprehensively describes the underlying principles that create flow product development processes, principles that have produced 5x to 10x improvements.|Reinert; Anderson|Donald G. Reinert; David J. Anderson|||llm_analysis|/home/appuser/app/uploads/05f5cf7d-944d-4758-9b87-7fa555dd55d6.pdf||product development; flow; lean manufacturing; variability; queues; process efficiency; cycle time||True|The principles of product development flow_ second -- Reinertsen, Donald G_, 2009.pdf||||The Principles of Product Development Second Generation Lean Product Development|api_v2
Competitive Strategy - Michael E. Porter.pdf|c412b3e1-55cc-4393-9b98-331a6777d3ee|Yes||Porter|Michael E. Porter|book||llm_analysis|/home/appuser/app/uploads/25cf2e7f-91c6-4c13-a428-5c91d603d35f.pdf||competitive strategy; industries; competitors; analysis||True|Competitive Strategy - Michael E. Porter.pdf||||COMPETITIVE STRATEGY Techniques for Analyzing Industries and Competitors|api_v2
Theory of Economic Development, The - Joseph A. Schumpeter.pdf|1a44f775-23dc-4afd-b9d0-9ef61597530a|Yes||Schumpeter; Elliott|Joseph A. Schumpeter; John E. Elliott|book||llm_analysis|/home/appuser/app/uploads/ae378de5-59e9-40b1-9aad-42e5272c5b84.pdf|Schumpeter, J.A. (1983) *The Theory of Economic Development*. Transaction Publishers.|economic development; profits; capital; credit; interest; business cycle||True|Theory of Economic Development, The - Joseph A. Schumpeter.pdf|1983|Transaction Publishers|www.transactionpub.com|THE THEORY OF ECONOMIC DEVELOPMENT An Inquiry into Profits, Capital, Credit, Interest, and the Business Cycle|api_v2
Cooper - Agile-stage-gate for manufacturers.pdf|07598769-3e99-4743-93e5-7c849e27de4d|Yes|Agile development methods borrowed from the software industry are now being used by a handful of manufacturing firms for the development of physical products. This article presents six case studies from major firms experimenting with Agile–Stage-Gate hybrids.|Cooper; Sommer|Robert G. Cooper; Anita Friis Sommer|research paper|10.1080/08956308.2018.1421380|llm_analysis|/home/appuser/app/uploads/5fde9b7f-c69e-49a3-8729-6d4795bca577.pdf|Cooper, R.G. & Sommer, A.F. (2018) ‘Agile–Stage-Gate for Manufacturers’, Research-Technology Management, 61(2), pp. 17-26. DOI: 10.1080/08956308.2018.1421380|New product development; Agile–Stage-Gate hybrid; Agile; Stage-Gate||True|Cooper - Agile-stage-gate for manufacturers.pdf|2018|Research-Technology Management|https://doi.org/10.1080/08956308.2018.1421380|Agile–Stage-Gate for Manufacturers|api_v2
Maarit Laanti - Pilotin Lean-Agile Hardware Development.pdf|db41c2df-b047-4e59-80d5-a6783886fba1|Yes|Lean-Agile hardware development is not only possible, but brings multiple benefits. The key to apply Lean and Agile thinking in hardware development is to understand the natural development iterations, and utilize the received feedback for the maturization of the hardware.|Laanti|Maarit Laanti|research paper||llm_analysis|/home/appuser/app/uploads/62f2dd16-5ebb-46fe-ab4e-aeefc144609a.pdf||Large-scale agile software development; agile methods; hardware engineering; software engineering; software development; Scaled Agile; embedded systems; electrical engineering; consumer electronics; large scale agile|English|True|Maarit Laanti - Pilotin Lean-Agile Hardware Development.pdf|2010-2011|||Piloting Lean-Agile Hardware Development|api_v2
MAHD-Ebook-with-Toolkit-v2.0.pdf|84fa2fb3-c9fe-442a-8a61-467de3290260|Yes|This ebook introduces the Modified Agile for Hardware Development (MAHD) framework, explaining its differences from software Agile methods and providing step-by-step guides for its key elements.|Simpson; Hinkle|Dorian Simpson; Gary Hinkle|Ebook||llm_analysis|/home/appuser/app/uploads/9a406258-278d-4323-8ab9-8a88cc9f42ee.pdf||Agile; Hardware Development; MAHD; Product Development; Physical Products|English|True|MAHD-Ebook-with-Toolkit-v2.0.pdf||||WWW.AGILEFORHARDWARE.ORG MAHD Step-by-Step Toolkit Applying Agile Principles to Physical Products When Making Changes Is Difficult|api_v2
Agile Practice Guide - PMBOK.pdf|87a75f75-6b34-49ad-9b4c-08c1d5ec5450|Yes||||book||llm_analysis|/home/appuser/app/uploads/845447eb-84d2-46d1-83d2-077757ec573d.pdf||agile; practice guide; project management; anti-counterfeit; security feature|English|True|Agile Practice Guide - PMBOK.pdf|2017|Project Management Institute, Inc.||AGILE PRACTICE GUIDE|api_v2
Fifth Discipline_ The Art and Practice of the Learning Organization, The - Peter M. Senge.pdf|1d7482c4-0a56-49f9-87dc-cffe510e50c9|Yes||Senge|Peter M. Senge|book||llm_analysis|/home/appuser/app/uploads/da416fdd-4058-429e-9c78-696111f5dac5.pdf||learning organization; systems thinking; personal mastery; mental models; shared vision; team learning||True|Fifth Discipline_ The Art and Practice of the Learning Organization, The - Peter M. Senge.pdf||||THE FIFTH DISCIPLINE PETER M. SENGE|api_v2
Automotive Product Development_  A Systems Engineering -- Vivek D_ Bhise -- 2017.pdf|804136ec-6286-4d09-aa44-34cc8be581b4|Yes||Bhise|Vivek D. Bhise|Business Plan||llm_analysis|/home/appuser/app/uploads/5db15084-b15f-4bb6-b340-ea001c6fb9e9.pdf||Vehicle Validation; Customer Drives; Ergonomics; V2X; Fuel Economy; Safety; CAD Models; Vehicle Integration; Attribute Management; Systems Engineering; Design Reviews; Quality Function Deployment||True|Automotive Product Development_  A Systems Engineering -- Vivek D_ Bhise -- 2017.pdf||||Right Vehicle for Customers Whole Vehicle Validation with Customer Drives|api_v2
2008_DeciRyan_CanPsy_Eng.pdf|349847fc-5cbd-49cf-a514-9070ddfa4426|Yes|Self-determination theory (SDT) differentiates motivation, with autonomous and controlled motivations constituting the key, broad distinction Research has shown that autonomous motivation predicts persistence and adherence and is advantageous for effective performance, especially on complex or heuristic tasks that involve deep information processing or creativity. Autonomous motivation is also reliably related to psychological health.|Deci; Ryan|Edward L. Deci; Richard M. Ryan|research paper||llm_analysis|/home/appuser/app/uploads/54692fc2-86a5-4507-b60c-a8a876a47459.pdf||autonomy; self-determination theory; autonomy support; intrinsic motivation||True|2008_DeciRyan_CanPsy_Eng.pdf||||Facilitating Optimal Motivation and Psychological WellBeing Across Life's Domains|api_v2
The Machine That Changed the World_ The Story of Lean -- James P_ Womack, Daniel T_ Jones, Daniel Roos -- 2007.pdf|f608f743-0746-4c2e-b34f-e4a9b1f939ab|Yes||Womack; Jones; Roos|James P. Womack; Daniel T. Jones; Daniel Roos|book||llm_analysis|/home/appuser/app/uploads/fe58cb7e-6a14-4897-b3ab-918563072dba.pdf||automobile; lean production; mass production; manufacturing; industry|English|True|The Machine That Changed the World_ The Story of Lean -- James P_ Womack, Daniel T_ Jones, Daniel Roos -- 2007.pdf||Collier Macmillan Canada||THE MACHINE THAT CHANGED THE WORLD|api_v2
A Scrum-based framework for development.pdf|431990bd-4b5e-4da2-a4c5-51c834470a27|Yes|In this work, a Scrum-Based New Product Development (SBNPD) approach is introduced. This new framework stems from the basis of Scrum and incorporates tools suitable for being applied to the design and development of physical products. The proposed approach implies that feedback from early adopters is to be gathered throughout the whole project, thereby driving to validated learning within a co-creation process.|Canoa; Garca-Cams; Garzás; Moguerza; Sánchez|Emilo L Canoa; Juan M. Garca-Cams; Javier Garzás; Javier M Moguerza; Noemí N. Sánchez|research paper||llm_analysis|/home/appuser/app/uploads/0f94d884-7f20-4a40-9569-625a8755efe1.pdf||Innovation strategy; Framework; Agile project management; Scrum; New Product Development; Physical products; Co-creation; Dental industry||True|A Scrum-based framework for development.pdf||||A Scrum-based framework for new product development in the non-software industry|api_v2
The-Perfect-Blend-How-to-use-Jira-for-Waterfall-and-Hybrid-Projects-Old-Street-Solutions.pdf|f86eb7c7-3ee6-47d8-a18d-453a04ccff39|Yes|Jira, primarily an agile project management system, can also be used for waterfall project management, especially for teams transitioning to agile methodologies. It's a suitable platform for organizations embracing agile practices gradually, particularly with the shift to remote working.|||Report||llm_analysis|/home/appuser/app/uploads/76c7e3f2-1ad9-45c5-b20e-30c6c93a1ff2.pdf|Unknown|Jira; waterfall; hybrid; agile; project management; remote working|English|True|The-Perfect-Blend-How-to-use-Jira-for-Waterfall-and-Hybrid-Projects-Old-Street-Solutions.pdf|Unknown|Unknown||how to use Jira for waterfall and hybrid projects|api_v2
Case Study Research_ Design and Methods (Applied Social Research Methods) - Robert K. Yin.pdf|ad8b3d7a-ce82-4ecb-a81f-9a63e6b31b8e|Yes||Yin|Robert K.Yin|book||llm_analysis|/home/appuser/app/uploads/16380713-0ad6-4451-9d4e-2cea342baad8.pdf||||True|Case Study Research_ Design and Methods (Applied Social Research Methods) - Robert K. Yin.pdf||||Case Study Research Design and Methods|api_v2
Best Practices in New Product Development and Innovation.pdf|940660f9-a9c5-43d2-bef7-3f3fea6523f8|Yes|Extending 30 years of NPD best practice studies, this paper presents the results of the most recent 2021 global best practice survey on product development management practices conducted by the Product Development & Management Association (PDMA). The results reveal that no single capability is necessary or sufficient to explain the best performance.|Knudsen; Barczak; von Zedtwitz; Griffin|Mette Praest Knudsen; Gloria Barczak; Max von Zedtwitz; Abbie Griffin|research paper||llm_analysis|/home/appuser/app/uploads/41e36e39-bea4-4cf0-8b03-ba1536382e05.pdf|Knudsen, M. P., Barczak, G., von Zedtwitz, M. & Griffin, A. (2021) Best practices in new product development and innovation: Results from PDMA's 2021 global survey.|best practice; COVID-19; innovation; innovation strategy; new product development (NPD); survey|English|True|Best Practices in New Product Development and Innovation.pdf|2021|Product Development & Management Association (PDMA)||Best practices in new product development and innovation: Results from PDMA's 2021 global survey|api_v2
Agile-Stage-GateHybrid-CooperSommer-JPIMSept2016.pdf|54e863e6-fd49-4bb9-b7b4-10dea6485b1f|Yes|Initial but limited evidence suggests yes: Larger IT firms have already integrated Agile and Stage-Gate and gained the benefits of both approaches; and most recently, a handful of manufacturing firms have employed this Agile–Stage-Gate hybrid model for physical new products. This new approach promises to be the most significant change to our thinking about how new-product development should be done since the introduction of today’s popular gating systems 30 years ago.|Cooper; Sommer|Robert G. Cooper; Anita F. Sommer|Article|10.1080/08956308.2016.1117317|llm_analysis|/home/appuser/app/uploads/bc6277ec-8381-4b8a-9d5e-782624b7a3a1.pdf|Cooper, R. G. & Sommer, A. F. (2016) ‘The Agile–Stage-Gate Hybrid Model: A Promising New Approach and a New Research Opportunity’, Research-Technology Management, 34(1).|Agile; Stage-Gate; hybrid model; new product development; manufacturing|English|True|Agile-Stage-GateHybrid-CooperSommer-JPIMSept2016.pdf|2016-01|Research-Technology Management||The Agile–Stage-Gate Hybrid Model: A Promising New Approach and a New Research Opportunity|api_v2
Product Design and Development -- Karl T_ Ulrich, Steven D_ Eppinger, Maria C_ Yang -- 7th, 2019.pdf|5e240c24-ade0-43b9-8d18-be22a4a41565|Yes||Ulrich; Eppinger; Yang|Karl T. Ulrich; Steven D. Eppinger; Maria C. Yang|book||llm_analysis|/home/appuser/app/uploads/e34a5bbb-38cb-4b3f-845b-bc6fb89b2589.pdf|Ulrich, K. T., Eppinger, S. D. & Yang, M. C. (2020). *Product Design and Development*. McGraw-Hill Education.|product design; product development; engineering; innovation|English|True|Product Design and Development -- Karl T_ Ulrich, Steven D_ Eppinger, Maria C_ Yang -- 7th, 2019.pdf|2020|McGraw-Hill Education||Product Design and Development|api_v2
Intrinsic Motivation and Self-Determination in Human -- Edward L_ Deci, Richard M_ Ryan (auth_) -- Perspectives in Social Psychology, 1, 1985.pdf|ed00d726-0075-4c3e-abb3-aa8454e0ffa8|Yes||Deci; Ryan|Edward L. Deci; Richard M. Ryan|||llm_analysis|/home/appuser/app/uploads/e8421d02-71a1-42cf-9ef0-f03df641b048.pdf||motivation; self-determination; human behavior||True|Intrinsic Motivation and Self-Determination in Human -- Edward L_ Deci, Richard M_ Ryan (auth_) -- Perspectives in Social Psychology, 1, 1985.pdf||||Intrinsic Motivation and Self-Determination in Human Behavior|api_v2
Cooper, R. G. 1983. A process model for industrial new product development..pdf|0dc0aadc-ea1d-4ee2-90d9-a3f8aaf77cdd|Yes|What steps should the industrial new product manager take to improve new product performance? This article pulls together the findings from the many research studies into what makes a new product a success. Six important lessons for managers are developed from those studies. The lessons point to a flow model approach to the development and commercialization of a new product—a step-by-step approach to successful product innovation.|Cooper|Robert G. Cooper|||llm_analysis|/home/appuser/app/uploads/7e4152ed-621b-4f17-b5bb-91d32a5c0cf9.pdf||new product development; process model; industrial products; innovation; market research||True|Cooper, R. G. 1983. A process model for industrial new product development..pdf||||A Process Model for Industrial New Product Development|api_v2
